Date,USD,AUS,CAN,SWF,DKK,EUR,GBP,HKD,IDR,JPY,KRW,MYR,NOK,NZD,SEK,SGD,THB,TWD,ZAR,AED,ARS,BRL,CNY,HUF,ILS,ISK,MXN,PHP,PKR,PLN,RUB,SAR,TRY,VEF,BHD
2023-09-29,83.03,53.422,61.15,90.713,11.7718,88.962,101.272,10.6027,0.005369,55.5756,0.0613,17.677,7.7693,49.776,7.6009,60.779,2.2729,2.5737,4.3833,22.6,0.24,16.49,11.3709,0.2251,21.77,0.6018,4.7613,1.4639,0.2891,18.95,0.8474,22.14,3.03,2.41,220.239
2023-09-28,83.15,53.407,61.638,90.854,11.7813,89.245,101.418,10.62,0.005375,55.6858,0.0615,17.654,7.7486,49.632,7.6095,60.858,2.2731,2.5866,4.3769,22.64,0.24,16.51,11.3873,0.2239,21.67,0.6056,4.7244,1.466,0.2891,18.93,0.8639,22.17,3.03,2.42,220.557
2023-09-27,83.181,52.837,61.616,90.267,11.7171,89.069,100.932,10.6353,0.005347,55.5874,0.0613,17.661,7.7211,49.251,7.5127,60.592,2.2665,2.5773,4.3262,22.64,0.24,16.49,11.3767,0.2224,21.58,0.6021,4.7062,1.4585,0.2883,18.84,0.8572,22.17,3.08,2.43,220.639
2023-09-26,83.23,53.234,61.565,90.872,11.8,89.258,101.191,10.6408,0.005374,55.8291,0.0614,17.739,7.6928,49.464,7.5691,60.792,2.2859,2.5832,4.3616,22.66,0.24,16.68,11.3819,0.225,21.69,0.6057,4.7422,1.4566,0.2865,19.08,0.862,22.19,3.05,2.44,220.722
2023-09-25,83.13,53.394,61.784,91.141,11.8074,89.081,101.51,10.6344,0.005387,55.8332,0.062,17.736,7.6896,49.587,7.5125,60.816,2.2951,2.5857,4.4252,22.63,0.24,16.73,11.3677,0.2254,21.77,0.6061,4.777,1.461,0.2858,19.1,0.8757,22.16,3.05,2.44,220.562
2023-09-22,82.97,53.441,61.519,91.447,11.8485,89.657,101.539,10.6085,0.005397,55.9135,0.0621,17.691,7.6855,49.458,7.4489,60.766,2.3015,2.5793,4.4215,22.58,0.24,16.81,11.3673,0.2267,21.78,0.6073,4.8158,1.4599,0.2889,19.17,0.8617,22.12,3.05,2.44,220.138
2023-09-21,83.102,53.327,61.63,91.856,11.8848,90.24,102.166,10.6247,0.00541,56.2984,0.062,17.704,7.7029,49.288,7.4386,60.805,2.3001,2.5815,4.3822,22.62,0.24,16.83,11.3698,0.2283,21.77,0.609,4.8197,1.4613,0.2837,19.18,0.8733,22.16,3.06,2.45,220.424
2023-09-20,82.92,53.442,61.586,92.256,11.8584,89.824,102.356,10.5984,0.005379,55.8986,0.0622,17.688,7.6839,49.155,7.4418,60.725,2.2938,2.5857,4.3975,22.57,0.24,16.98,11.3764,0.23,21.74,0.6106,4.8496,1.4632,0.283,19.16,0.8635,22.11,3.06,2.45,220.005
2023-09-19,83.31,53.768,61.945,92.783,11.9347,89.348,103.221,10.6525,0.005407,56.34,0.0627,17.733,7.7092,49.436,7.4582,61.037,2.311,2.5992,4.3974,22.68,0.24,17.11,11.4159,0.2316,21.85,0.6123,4.8749,1.4667,0.2826,19.08,0.868,22.21,3.07,2.46,221.04
2023-09-18,83.27,53.576,61.732,92.801,11.9418,89.248,103.105,10.6504,0.005409,56.4083,0.0629,17.751,7.705,49.271,7.4714,61.066,2.3325,2.6039,4.3786,22.67,0.24,17.15,11.4194,0.2319,21.78,0.6129,4.8578,1.4696,0.2823,19.18,0.8678,22.2,3.08,2.47,220.875
2023-09-15,83.069,53.445,61.446,92.552,11.874,89.261,102.886,10.6173,0.005414,56.1933,0.0625,17.732,7.684,48.983,7.4275,60.928,2.3269,2.6042,4.369,22.62,0.24,17.06,11.4211,0.2309,21.8,0.6097,4.8604,1.4603,0.2811,19.05,0.8586,22.15,3.07,2.47,220.406
2023-09-14,83.01,53.45,61.448,92.676,11.845,89.596,103.007,10.6028,0.005412,56.2856,0.0624,17.718,7.729,49.051,7.4108,60.876,2.3181,2.5989,4.3633,22.6,0.24,17.05,11.404,0.2298,21.7,0.6073,4.8504,1.4653,0.2803,19.05,0.8627,22.13,3.07,2.48,220.186
2023-09-13,82.934,53.252,61.197,92.788,11.926,90.049,103.568,10.5963,0.00541,56.2377,0.0624,17.71,7.7437,49.072,7.4471,60.922,2.3211,2.5904,4.4077,22.58,0.24,16.86,11.4047,0.2317,21.66,0.6159,4.8304,1.4614,0.2798,19.22,0.8621,22.11,3.08,2.48,219.977
2023-09-12,82.85,53.215,61.112,92.933,11.9417,90.493,103.447,10.585,0.005391,56.3261,0.0624,17.707,7.7548,48.898,7.4665,60.883,2.3272,2.5873,4.3798,22.55,0.24,16.74,11.3608,0.2311,21.75,0.6193,4.8023,1.462,0.2787,19.11,0.863,22.07,3.08,2.49,219.761
2023-09-11,82.9,53.313,61.064,93.031,11.9482,90.348,103.683,10.5842,0.005398,56.5484,0.0625,17.729,7.7854,49.052,7.4837,60.916,2.3346,2.5876,4.3913,22.57,0.24,16.81,11.371,0.2321,21.85,0.6194,4.7955,1.4611,0.2768,19.2,0.8724,22.09,3.08,2.49,219.876
2023-09-08,83.004,52.915,60.84,92.898,11.9077,90.371,103.456,10.586,0.005395,56.1521,0.062,17.74,7.7565,48.798,7.4535,60.8,2.3277,2.5854,4.3376,22.6,0.24,16.64,11.3007,0.2302,21.58,0.6173,4.7119,1.4644,0.2765,19.22,0.8495,22.13,3.09,2.49,220.17
2023-09-07,83.15,53.016,60.76,93.103,11.9218,90.523,103.696,10.606,0.005403,56.4494,0.0622,17.767,7.7586,48.851,7.4575,60.871,2.3317,2.5933,4.3348,22.64,0.24,16.7,11.3439,0.2297,21.6,0.6181,4.7201,1.4639,0.2756,19.21,0.8443,22.17,3.1,2.5,220.545
2023-09-06,83.197,53.096,61.008,93.343,11.9689,90.734,104.063,10.6082,0.005418,56.3398,0.0623,17.792,7.7551,48.845,7.483,61.008,2.3403,2.601,4.3319,22.65,0.24,16.7,11.3682,0.229,21.7,0.6195,4.7301,1.4583,0.2713,19.53,0.8458,22.18,3.1,2.51,220.67
2023-09-05,83.033,52.975,60.857,93.358,11.9429,90.689,104.314,10.5885,0.005399,56.2059,0.0624,17.799,7.7451,48.857,7.4754,60.986,2.3396,2.5981,4.3205,22.6,0.24,16.71,11.3664,0.2295,21.84,0.6206,4.7633,1.4583,0.2723,19.81,0.8564,22.14,3.1,2.52,220.223
2023-09-04,82.715,53.417,60.847,93.516,11.9804,90.693,104.394,10.5585,0.005423,56.4607,0.0627,17.758,7.7831,49.108,7.5231,61.04,2.3465,2.59,4.3359,22.52,0.24,16.74,11.3713,0.2334,21.81,0.6198,4.8098,1.4609,0.2729,19.95,0.8538,22.05,3.09,2.52,219.391
2023-09-01,82.689,53.334,60.81,93.328,11.9548,90.704,104.089,10.5391,0.005427,56.5354,0.0627,17.783,7.7578,49.158,7.4937,61.043,2.3585,2.5927,4.3864,22.51,0.24,16.71,11.3856,0.2318,21.73,0.6227,4.8336,1.4622,0.2708,19.92,0.8577,22.05,3.09,,219.322
2023-08-31,82.702,53.615,61.211,93.607,12.0314,90.905,104.808,10.546,0.005423,56.8162,0.0624,17.812,7.7768,49.323,7.5517,61.197,2.3609,2.5946,4.3791,22.51,0.24,16.68,11.3922,0.2351,21.73,0.6303,4.8485,1.4601,0.2697,20.03,0.8628,22.05,3.09,,219.362
2023-08-30,82.607,53.496,61.032,94.053,12.1057,90.757,105.06,10.5259,0.005431,56.4757,0.0624,17.792,7.7959,49.192,7.6207,61.19,2.3562,2.5933,4.4206,22.49,0.24,16.88,11.337,0.2375,21.8,0.6324,4.9312,1.4549,0.2698,20.18,0.8591,22.02,3.09,,219.093
2023-08-29,82.574,53.491,60.913,93.984,12.0527,91.058,104.39,10.5231,0.005426,56.6002,0.0626,17.765,7.8016,49.305,7.5923,61.175,2.3572,2.5927,4.4673,22.48,0.24,17.01,11.3398,0.2356,21.79,0.6314,4.9142,1.4548,0.2688,20.11,0.8653,22.01,3.11,,219.006
2023-08-28,82.6,53.104,60.735,93.439,11.9889,91.017,104.101,10.5275,0.005422,56.363,0.0624,17.737,7.7029,48.817,7.515,60.905,2.3446,2.5876,4.4369,22.49,0.24,16.95,11.3292,0.2327,21.7,0.6273,4.9167,1.4565,0.27,19.99,0.874,22.02,3.12,,219.075
2023-08-25,82.637,52.888,60.727,93.386,11.9679,90.562,103.933,10.5353,0.005426,56.4306,0.0623,17.802,7.717,48.789,7.4733,60.942,2.351,2.596,4.4332,22.5,0.24,16.95,11.3341,0.2336,21.7,0.6261,4.9291,1.4596,0.2697,19.96,0.8698,22.03,3.11,,219.167
2023-08-24,82.58,52.975,60.792,93.342,11.9749,90.474,104.043,10.5291,0.005433,56.6198,0.0621,17.771,7.7048,48.896,7.5102,60.859,2.3594,2.594,4.3888,22.48,0.24,16.91,11.3437,0.2322,21.75,0.6231,4.9003,1.4562,0.2714,19.91,0.8741,22.01,3.2,,219.022
2023-08-23,82.508,53.432,60.995,93.962,12.0234,90.426,105.0,10.5206,0.005427,56.9571,0.0621,17.709,7.7908,49.332,7.5662,60.982,2.3587,2.5888,4.4625,22.46,0.24,16.98,11.3335,0.2341,21.97,0.6256,4.9083,1.4571,0.2712,20.04,0.8777,22.0,3.03,,218.825
2023-08-22,83.04,53.32,61.28,94.31,12.0838,90.431,105.71,10.5949,0.005421,56.9157,0.0619,17.858,7.8088,49.351,7.5964,61.149,2.3705,2.5954,4.4163,22.61,0.24,16.81,11.3824,0.2349,21.92,0.6269,4.9066,1.4747,0.2724,20.13,0.8788,22.14,3.05,,220.248
2023-08-21,83.09,53.277,61.335,94.56,12.1477,90.571,105.973,10.6006,0.005405,56.8331,0.0619,17.869,7.8367,49.239,7.5667,61.19,2.3578,2.6005,4.3789,22.62,0.24,16.68,11.3994,0.2363,21.94,0.6292,4.8776,1.4743,0.2727,20.21,0.8886,22.15,3.06,,220.41
2023-08-18,83.14,53.235,61.358,94.274,12.1305,90.143,105.879,10.6138,0.005395,57.1763,0.062,17.88,7.8074,49.227,7.5599,61.254,2.3486,2.6012,4.3749,22.63,0.24,16.72,11.4152,0.2363,21.87,0.6282,4.8697,1.4804,0.2725,20.25,0.8737,22.17,3.06,,220.542
2023-08-17,83.14,53.228,61.364,94.616,12.126,90.825,105.949,10.6173,0.005421,56.9969,0.062,17.858,7.8435,49.238,7.5972,61.192,2.3423,2.6001,4.3578,22.63,0.24,16.7,11.4002,0.2346,21.92,0.6282,4.8529,1.4656,0.2759,20.21,0.88,22.17,3.06,,220.516
2023-08-16,83.222,53.454,61.473,94.535,12.1482,90.469,105.925,10.6252,0.005395,56.8603,0.0619,17.964,7.8439,49.385,7.6249,61.179,2.3433,2.6019,4.3396,22.65,0.24,16.67,11.4001,0.2338,22.07,0.6274,4.8524,1.4692,0.2775,20.24,0.855,22.19,3.07,,220.738
2023-08-15,83.239,53.705,61.639,94.731,12.176,90.476,105.704,10.6364,0.005421,57.155,0.0622,17.939,7.8967,49.503,7.6656,61.248,2.352,2.6054,4.3443,22.65,0.24,16.69,11.4232,0.2336,22.2,0.629,4.8506,1.4656,0.2792,20.25,0.8409,22.18,3.07,,220.751
2023-08-14,83.18,53.944,61.772,94.684,12.1723,91.17,105.468,10.6354,0.005423,57.1379,0.0621,18.006,7.9314,49.686,7.7206,61.33,2.3588,2.6015,4.3582,22.64,0.24,16.76,11.4543,0.2359,22.12,0.6287,4.8743,1.4668,0.2804,20.38,0.8443,22.17,3.07,,220.575
2023-08-11,82.898,53.849,61.65,94.482,12.173,91.327,105.195,10.6006,0.005441,57.1557,0.0623,18.058,7.9372,49.573,7.6543,61.276,2.3616,2.5959,4.3779,22.56,0.29,16.89,11.4463,0.2365,22.19,0.6261,4.867,1.4643,0.2808,20.44,0.8291,22.09,3.08,,219.808
2023-08-10,82.644,53.808,61.424,94.224,12.1738,91.88,104.716,10.5651,0.005428,57.071,0.0627,18.062,8.0002,49.743,7.7125,61.202,2.3517,2.5937,4.381,22.49,0.29,16.88,11.4435,0.2352,22.18,0.6271,4.8198,1.4723,0.2819,20.38,0.8492,22.01,3.05,,219.123
2023-08-09,82.871,54.064,61.727,94.431,12.1993,92.121,105.361,10.5922,0.005406,57.6386,0.063,18.112,8.1135,50.129,7.755,61.516,2.3616,2.6154,4.3619,22.55,0.29,16.89,11.4879,0.2337,22.36,0.6293,4.855,1.4705,0.2817,20.34,0.8551,22.07,3.06,,219.734
2023-08-08,82.88,54.211,61.734,94.549,12.1816,92.188,105.604,10.6025,0.005416,57.7735,0.0629,18.07,8.0539,50.25,7.7371,61.477,2.3652,2.6007,4.3768,22.56,0.29,16.9,11.4764,0.2326,22.25,0.6275,4.8372,1.4677,0.2835,20.33,0.8528,22.08,3.07,,219.763
2023-08-07,82.778,54.383,61.888,94.842,12.2202,92.116,105.788,10.5988,0.005431,58.058,0.0632,18.143,8.135,50.511,7.8237,61.675,2.3745,2.6031,4.4211,22.53,0.29,16.88,11.5023,0.2344,22.44,0.6268,4.8463,1.4726,0.2857,20.56,0.8658,22.04,3.06,,219.473
2023-08-04,82.696,54.305,61.813,94.683,12.2142,92.082,105.385,10.5831,0.005429,58.3072,0.0633,18.141,8.137,50.411,7.8016,61.697,2.383,2.6093,4.4729,22.5,0.3,16.96,11.5281,0.2335,22.61,0.6266,4.8327,1.4842,0.2889,20.5,0.8626,22.03,3.06,,219.249
2023-08-03,82.755,54.218,61.939,94.636,12.1579,91.227,105.2,10.6003,0.00541,58.0417,0.0636,18.155,8.0615,50.287,7.7323,61.703,2.3889,2.6104,4.4202,22.53,0.3,16.82,11.5452,0.2301,22.45,0.6254,4.767,1.491,0.2864,20.29,0.8758,22.04,3.07,,219.479
2023-08-02,82.735,54.081,61.961,94.247,12.1426,90.678,105.158,10.6041,0.005418,57.7199,0.0636,18.194,8.0245,50.292,7.7053,61.656,2.398,2.6137,4.4794,22.52,0.3,17.19,11.5027,0.2327,22.52,0.6246,4.8525,1.5001,0.2876,20.33,0.8773,22.03,3.07,,219.431
2023-08-01,82.345,54.435,61.989,94.071,12.1361,90.764,105.206,10.5647,0.005425,57.4438,0.0638,18.217,8.064,50.623,7.7638,61.59,2.3978,2.6034,4.4977,22.42,0.3,17.18,11.4712,0.2326,22.63,0.6261,4.8762,1.4985,0.2879,20.32,0.8911,21.94,3.04,,218.42
2023-07-31,82.245,55.224,62.35,94.301,12.1343,90.598,105.555,10.5453,0.005446,57.7893,0.0643,18.231,8.1109,51.046,7.8081,61.849,2.4026,2.6139,4.6044,22.39,0.3,17.4,11.5134,0.2335,22.43,0.626,4.9063,1.4972,0.2882,20.53,0.8963,21.92,3.05,,218.166
2023-07-28,82.253,54.671,62.033,94.49,12.1563,90.099,105.659,10.5464,0.005447,58.2413,0.0646,18.048,8.0556,50.692,7.7826,61.754,2.4,2.6184,4.6685,22.39,0.3,17.36,11.5,0.2356,22.23,0.6244,4.9219,1.4971,0.2878,20.51,0.8936,21.92,3.06,,218.115
2023-07-27,82.155,55.098,62.117,94.501,12.0987,89.417,105.103,10.5283,0.005435,58.9016,0.064,18.151,8.0568,50.769,7.8094,61.693,2.3825,2.6225,4.6029,22.36,0.3,17.32,11.449,0.2357,22.04,0.619,4.8653,1.5012,0.2918,20.37,0.9057,21.9,3.05,,217.899
2023-07-26,81.955,55.365,62.032,95.18,12.1897,89.133,106.035,10.5048,0.005451,58.4355,0.0644,18.003,8.0994,50.883,7.8656,61.821,2.3948,2.6242,4.649,22.31,0.3,17.3,11.459,0.2379,22.21,0.6228,4.8626,1.5004,0.2936,20.52,0.9105,21.85,3.04,,217.386
2023-07-25,81.855,55.568,62.139,94.756,12.1427,89.397,105.587,10.4771,0.005456,58.095,0.0641,17.93,8.125,50.903,7.8763,61.653,2.3725,2.6169,4.6629,22.28,0.3,17.22,11.4657,0.238,22.11,0.622,4.8289,1.5005,0.2918,20.4,0.9071,21.81,3.04,,217.12
2023-07-24,81.795,55.118,62.103,94.001,12.1433,89.561,104.953,10.468,0.005464,57.8144,0.0638,17.878,8.1245,50.726,7.8563,61.413,2.3687,2.6091,4.6077,22.27,0.3,17.29,11.3795,0.2392,22.32,0.6178,4.854,1.5007,0.2865,20.33,0.9042,21.81,3.03,,216.978
